tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
pga,2024,2024,2024-04-14,Masters Tournament,14,"Scheffler, Scottie",18417,1,1,Augusta National Golf Club,14,72,1,1:12pm,66,0.774,2.905,2.356,1.392,6.653,7.427,308.4,0.857,0.722,0.778,62.689,33.871,7,1,0,6,12,0,0
pga,2024,2024,2024-04-14,Masters Tournament,14,"Scheffler, Scottie",18417,1,2,Augusta National Golf Club,14,72,1,1:48pm,72,-0.113,2.019,-0.096,1.269,3.192,3.079,308.8,0.786,0.556,0.9,39.077,43.672,3,4,0,3,12,3,0
pga,2024,2024,2024-04-14,Masters Tournament,14,"Scheffler, Scottie",18417,1,3,Augusta National Golf Club,14,72,1,2:35pm,71,-0.216,2.211,-0.483,1.789,3.516,3.3,320.3,0.857,0.611,0.4,53.497,41.198,6,6,1,4,9,3,1
pga,2024,2024,2024-04-14,Masters Tournament,14,"Scheffler, Scottie",18417,1,4,Augusta National Golf Club,14,72,1,2:35pm,68,1.376,0.731,1.338,1.038,3.107,4.483,315.8,0.643,0.667,0.556,51.395,35.894,3,2,0,7,8,3,0
pga,2024,2024,2024-04-14,Masters Tournament,14,"Aberg, Ludvig",23950,2,1,Augusta National Golf Club,14,72,1,4:18pm,73,2.441,-0.7,-2.614,1.3,-2.014,0.427,312.0,0.714,0.444,0.727,82.281,43.136,1,3,0,2,14,1,1
pga,2024,2024,2024-04-14,Masters Tournament,14,"Aberg, Ludvig",23950,2,2,Augusta National Golf Club,14,72,1,10:42am,69,2.267,-0.395,3.852,0.355,3.812,6.079,312.3,0.786,0.667,0.714,49.122,39.843,6,6,0,6,9,3,0
pga,2024,2024,2024-04-14,Masters Tournament,14,"Aberg, Ludvig",23950,2,3,Augusta National Golf Club,14,72,1,2:15pm,70,0.099,-1.017,3.446,1.772,4.201,4.3,318.9,0.857,0.722,0.5,163.069,23.307,8,3,0,4,12,2,0
pga,2024,2024,2024-04-14,Masters Tournament,14,"Aberg, Ludvig",23950,2,4,Augusta National Golf Club,14,72,1,2:25pm,69,3.186,-0.187,-1.18,1.665,0.298,3.483,322.9,0.786,0.611,0.7,129.997,38.343,6,2,0,5,12,0,1
pga,2024,2024,2024-04-14,Masters Tournament,14,"Fleetwood, Tommy",12294,T3,1,Augusta National Golf Club,14,72,1,4:30pm,72,-0.241,1.008,0.916,-0.255,1.668,1.427,296.3,0.857,0.611,0.5,93.055,54.977,3,3,0,3,12,3,0
pga,2024,2024,2024-04-14,Masters Tournament,14,"Fleetwood, Tommy",12294,T3,2,Augusta National Golf Club,14,72,1,10:54am,71,2.101,-0.31,1.55,0.738,1.978,4.079,298.1,0.786,0.556,0.778,159.08,45.026,3,2,0,3,13,2,0
pga,2024,2024,2024-04-14,Masters Tournament,14,"Fleetwood, Tommy",12294,T3,3,Augusta National Golf Club,14,72,1,2:05pm,72,-1.079,0.636,2.688,0.055,3.379,2.3,291.7,0.786,0.722,0.571,33.498,40.122,3,2,0,2,14,2,0
pga,2024,2024,2024-04-14,Masters Tournament,14,"Fleetwood, Tommy",12294,T3,4,Augusta National Golf Club,14,72,1,1:45pm,69,1.535,1.562,-1.186,1.572,1.948,3.483,309.6,0.929,0.667,0.75,,34.885,2,2,0,3,15,0,0
pga,2024,2024,2024-04-14,Masters Tournament,14,"Morikawa, Collin",22085,T3,1,Augusta National Golf Club,14,72,1,4:30pm,71,-0.39,-0.313,3.178,-0.048,2.817,2.427,294.5,0.714,0.722,0.571,105.214,27.007,9,5,0,3,13,2,0
