tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
pga,2023,2023,2023-04-09,Masters Tournament,14,"Rahm, Jon",19195,1,1,Augusta National Golf Club,14,72,1,10:42am,65,-0.603,2.591,2.806,2.586,7.983,7.337,312.4,1.0,0.944,1.0,,31.963,6,2,1,7,9,0,1
pga,2023,2023,2023-04-09,Masters Tournament,14,"Rahm, Jon",19195,1,2,Augusta National Golf Club,14,72,1,1:18pm,69,2.568,0.757,0.25,0.722,1.729,4.271,294.9,0.714,0.556,0.778,37.203,48.291,6,2,0,5,11,2,0
pga,2023,2023,2023-04-09,Masters Tournament,14,"Rahm, Jon",19195,1,3,Augusta National Golf Club,14,72,1,1:06pm,73,-0.326,-0.652,-0.396,1.914,0.866,0.434,297.3,0.929,0.611,0.75,53.837,40.769,3,2,0,3,11,4,0
pga,2023,2023,2023-04-09,Masters Tournament,14,"Rahm, Jon",19195,1,4,Augusta National Golf Club,14,72,1,2:33pm,69,0.342,0.405,2.159,1.095,3.658,4.0,301.4,0.786,0.778,0.667,4.375,33.019,4,2,0,4,13,1,0
pga,2023,2023,2023-04-09,Masters Tournament,14,"Koepka, Brooks",16243,T2,1,Augusta National Golf Club,14,72,1,11:54am,65,2.5,-0.418,5.136,0.162,4.88,7.337,304.2,0.857,0.833,1.0,44.382,16.219,6,1,0,8,9,1,0
pga,2023,2023,2023-04-09,Masters Tournament,14,"Koepka, Brooks",16243,T2,2,Augusta National Golf Club,14,72,1,8:18am,67,1.601,-0.542,3.204,2.034,4.696,6.271,303.7,0.929,0.778,0.857,32.071,28.184,5,1,1,3,14,0,0
pga,2023,2023,2023-04-09,Masters Tournament,14,"Koepka, Brooks",16243,T2,3,Augusta National Golf Club,14,72,1,1:06pm,73,0.801,1.692,-1.73,-0.224,-0.261,0.434,294.8,0.643,0.389,0.833,44.17,34.855,1,2,0,2,13,3,0
pga,2023,2023,2023-04-09,Masters Tournament,14,"Koepka, Brooks",16243,T2,4,Augusta National Golf Club,14,72,1,2:33pm,75,0.027,-2.225,-0.143,0.341,-2.027,-2.0,305.1,0.714,0.667,0.3,50.123,46.572,2,6,0,3,9,6,0
pga,2023,2023,2023-04-09,Masters Tournament,14,"Mickelson, Phil",1547,T2,1,Augusta National Golf Club,14,72,1,12:24pm,71,1.414,-1.095,0.543,0.518,-0.034,1.337,306.6,0.786,0.667,0.667,64.092,27.841,5,3,0,6,8,3,1
pga,2023,2023,2023-04-09,Masters Tournament,14,"Mickelson, Phil",1547,T2,2,Augusta National Golf Club,14,72,1,8:42am,69,4.429,-0.637,-0.323,0.828,-0.133,4.271,295.1,0.786,0.5,0.769,33.495,38.865,5,3,0,5,12,0,1
pga,2023,2023,2023-04-09,Masters Tournament,14,"Mickelson, Phil",1547,T2,3,Augusta National Golf Club,14,72,1,12:30pm,75,-1.392,-0.626,-0.033,0.591,-0.068,-1.566,280.7,0.857,0.556,0.3,47.132,44.176,3,2,0,2,11,5,0
pga,2023,2023,2023-04-09,Masters Tournament,14,"Mickelson, Phil",1547,T2,4,Augusta National Golf Club,14,72,1,12:49pm,65,0.519,1.676,4.507,1.298,7.481,8.0,293.4,0.857,0.889,0.667,43.324,32.783,9,3,0,8,9,1,0
pga,2023,2023,2023-04-09,Masters Tournament,14,"Reed, Patrick",14838,T4,1,Augusta National Golf Club,14,72,1,9:24am,71,0.242,0.681,0.172,0.285,1.138,1.337,287.6,0.857,0.722,0.5,171.727,35.634,2,3,0,4,11,3,0
pga,2023,2023,2023-04-09,Masters Tournament,14,"Reed, Patrick",14838,T4,2,Augusta National Golf Club,14,72,1,12:06pm,70,1.114,0.799,0.741,0.643,2.183,3.271,288.8,0.786,0.722,0.667,95.738,45.33,5,4,0,4,12,2,0
pga,2023,2023,2023-04-09,Masters Tournament,14,"Reed, Patrick",14838,T4,3,Augusta National Golf Club,14,72,1,12:06pm,72,-0.197,0.692,1.382,-0.337,1.737,1.434,277.3,0.714,0.5,0.7,20.382,33.209,4,2,0,3,12,3,0
pga,2023,2023,2023-04-09,Masters Tournament,14,"Reed, Patrick",14838,T4,4,Augusta National Golf Club,14,72,1,1:55pm,68,2.147,1.831,1.052,-0.031,2.853,5.0,292.1,0.857,0.556,0.667,41.616,42.294,6,4,0,8,7,2,1
pga,2023,2023,2023-04-09,Masters Tournament,14,"Spieth, Jordan",14636,T4,1,Augusta National Golf Club,14,72,1,2:00pm,69,2.528,1.417,-0.289,-0.276,0.851,3.337,307.8,0.571,0.611,0.75,31.582,28.821,3,4,0,7,8,2,1
pga,2023,2023,2023-04-09,Masters Tournament,14,"Spieth, Jordan",14636,T4,2,Augusta National Golf Club,14,72,1,10:24am,70,-0.137,1.174,0.743,1.516,3.433,3.271,297.5,0.857,0.611,0.9,71.519,39.468,2,2,0,3,14,1,0
