tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
pga,2022,2022,2022-04-10,The Masters,14,"Scheffler, Scottie",18417,1,1,Augusta National Golf Club,14,72,1,11:26am,69,2.332,0.715,1.054,0.733,2.501,4.833,293.5,0.786,0.722,0.667,75.898,53.077,4,0,0,4,13,1,0
pga,2022,2022,2022-04-10,The Masters,14,"Scheffler, Scottie",18417,1,2,Augusta National Golf Club,14,72,1,2:03pm,67,1.587,2.16,1.69,2.17,6.02,7.607,304.6,0.857,0.722,0.8,40.413,54.245,3,1,0,7,9,2,0
pga,2022,2022,2022-04-10,The Masters,14,"Scheffler, Scottie",18417,1,3,Augusta National Golf Club,14,72,1,2:50pm,71,0.066,0.695,2.754,0.062,3.511,3.577,300.7,0.786,0.667,0.667,30.285,26.084,4,4,0,6,7,5,0
pga,2022,2022,2022-04-10,The Masters,14,"Scheffler, Scottie",18417,1,4,Augusta National Golf Club,14,72,1,2:40pm,71,-1.124,2.179,0.263,0.086,2.528,1.404,310.2,0.643,0.611,0.75,52.788,51.277,7,7,0,4,12,1,1
pga,2022,2022,2022-04-10,The Masters,14,"McIlroy, Rory",10091,2,1,Augusta National Golf Club,14,72,1,2:33pm,73,-1.266,-0.355,0.126,2.329,2.1,0.833,311.3,0.857,0.722,0.5,128.602,45.073,4,4,0,2,13,3,0
pga,2022,2022,2022-04-10,The Masters,14,"McIlroy, Rory",10091,2,2,Augusta National Golf Club,14,72,1,10:45am,73,-1.705,1.873,1.153,0.286,3.312,1.607,301.2,0.571,0.722,0.714,94.465,39.426,3,3,0,3,12,2,1
pga,2022,2022,2022-04-10,The Masters,14,"McIlroy, Rory",10091,2,3,Augusta National Golf Club,14,72,1,12:20pm,71,1.055,0.491,1.781,0.25,2.522,3.577,306.4,0.714,0.722,0.333,29.375,32.836,3,5,0,4,11,3,0
pga,2022,2022,2022-04-10,The Masters,14,"McIlroy, Rory",10091,2,4,Augusta National Golf Club,14,72,1,1:50pm,64,1.024,5.716,0.187,1.476,7.379,8.404,313.4,0.571,0.611,0.9,58.146,29.998,10,2,1,6,11,0,0
pga,2022,2022,2022-04-10,The Masters,14,"Smith, Cameron",15856,T3,1,Augusta National Golf Club,14,72,1,10:53am,68,0.796,0.626,5.467,-1.056,5.038,5.833,296.3,0.714,0.778,0.75,,30.771,6,5,0,8,8,0,2
pga,2022,2022,2022-04-10,The Masters,14,"Smith, Cameron",15856,T3,2,Augusta National Golf Club,14,72,1,1:30pm,74,-1.964,-0.405,3.436,-0.46,2.571,0.607,295.8,0.571,0.611,0.429,41.44,37.831,5,6,0,2,12,4,0
pga,2022,2022,2022-04-10,The Masters,14,"Smith, Cameron",15856,T3,3,Augusta National Golf Club,14,72,1,2:10pm,68,3.251,2.042,0.49,0.794,3.326,6.577,289.2,0.857,0.556,0.778,75.995,43.566,4,2,0,6,10,2,0
pga,2022,2022,2022-04-10,The Masters,14,"Smith, Cameron",15856,T3,4,Augusta National Golf Club,14,72,1,2:40pm,73,1.853,-0.355,-0.141,-1.954,-2.45,-0.596,304.9,0.5,0.667,0.2,45.685,39.801,5,8,0,6,7,4,1
pga,2022,2022,2022-04-10,The Masters,14,"Lowry, Shane",13900,T3,1,Augusta National Golf Club,14,72,1,10:31am,73,1.663,0.319,-2.796,1.648,-0.829,0.833,300.9,0.857,0.444,0.692,19.241,41.43,2,3,1,1,13,2,1
pga,2022,2022,2022-04-10,The Masters,14,"Lowry, Shane",13900,T3,2,Augusta National Golf Club,14,72,1,1:08pm,68,0.441,2.094,2.695,1.376,6.166,6.607,293.4,0.857,0.778,0.667,65.552,44.857,3,2,0,5,12,1,0
pga,2022,2022,2022-04-10,The Masters,14,"Lowry, Shane",13900,T3,3,Augusta National Golf Club,14,72,1,2:40pm,73,0.873,1.927,-2.433,1.21,0.704,1.577,296.4,0.786,0.611,0.778,79.07,38.85,3,3,0,2,13,3,0
pga,2022,2022,2022-04-10,The Masters,14,"Lowry, Shane",13900,T3,4,Augusta National Golf Club,14,72,1,2:30pm,69,2.711,1.309,-1.345,0.729,0.693,3.404,302.4,0.786,0.722,0.778,45.326,34.141,6,7,0,7,9,1,1
pga,2022,2022,2022-04-10,The Masters,14,"Morikawa, Collin",22085,5,1,Augusta National Golf Club,14,72,1,2:00pm,73,-1.474,1.216,0.585,0.505,2.307,0.833,301.2,0.714,0.5,0.6,40.58,35.377,3,4,0,2,13,3,0
pga,2022,2022,2022-04-10,The Masters,14,"Morikawa, Collin",22085,5,2,Augusta National Golf Club,14,72,1,10:12am,70,1.779,0.654,1.528,0.646,2.828,4.607,291.1,0.857,0.833,0.6,45.59,29.466,3,3,0,4,12,2,0
pga,2022,2022,2022-04-10,The Masters,14,"Morikawa, Collin",22085,5,3,Augusta National Golf Club,14,72,1,2:00pm,74,-0.318,0.43,-0.578,1.043,0.895,0.577,295.6,0.786,0.556,0.455,59.432,34.645,4,2,0,3,10,5,0
pga,2022,2022,2022-04-10,The Masters,14,"Morikawa, Collin",22085,5,4,Augusta National Golf Club,14,72,1,1:50pm,67,0.735,1.506,3.77,-0.608,4.669,5.404,293.5,0.786,0.722,0.667,14.513,25.968,5,4,1,6,8,3,0
pga,2022,2022,2022-04-10,The Masters,14,"Conners, Corey",17576,T6,1,Augusta National Golf Club,14,72,1,12:43pm,70,-0.428,2.875,1.314,0.071,4.261,3.833,289.6,0.714,0.722,0.833,72.556,33.993,2,2,0,3,14,1,0
pga,2022,2022,2022-04-10,The Masters,14,"Conners, Corey",17576,T6,2,Augusta National Golf Club,14,72,1,8:55am,73,-0.958,1.846,-0.392,1.111,2.565,1.607,295.7,0.714,0.611,0.556,42.25,50.875,2,4,0,3,11,4,0
pga,2022,2022,2022-04-10,The Masters,14,"Conners, Corey",17576,T6,3,Augusta National Golf Club,14,72,1,2:10pm,72,-0.628,0.109,2.42,0.675,3.204,2.577,292.1,0.786,0.667,0.667,53.955,39.081,5,5,0,4,10,4,0
pga,2022,2022,2022-04-10,The Masters,14,"Conners, Corey",17576,T6,4,Augusta National Golf Club,14,72,1,2:10pm,70,2.913,-0.301,-0.768,0.56,-0.51,2.404,298.0,0.714,0.611,0.5,24.979,60.182,5,3,0,6,8,4,0
pga,2022,2022,2022-04-10,The Masters,14,"Zalatoris, Will",19428,T6,1,Augusta National Golf Club,14,72,1,2:11pm,71,0.235,1.529,0.909,0.16,2.598,2.833,304.5,0.571,0.611,0.889,72.606,34.533,5,5,0,3,13,2,0
pga,2022,2022,2022-04-10,The Masters,14,"Zalatoris, Will",19428,T6,2,Augusta National Golf Club,14,72,1,10:23am,72,0.256,-0.275,1.072,1.553,2.351,2.607,295.4,0.857,0.611,0.6,120.369,39.707,3,4,0,4,10,4,0
pga,2022,2022,2022-04-10,The Masters,14,"Zalatoris, Will",19428,T6,3,Augusta National Golf Club,14,72,1,2:00pm,75,1.868,0.398,-3.208,0.52,-2.291,-0.423,295.5,0.786,0.444,0.444,,55.094,7,5,0,5,6,6,1
pga,2022,2022,2022-04-10,The Masters,14,"Zalatoris, Will",19428,T6,4,Augusta National Golf Club,14,72,1,1:30pm,67,3.25,1.716,0.455,-0.018,2.153,5.404,322.6,0.571,0.611,0.875,37.338,31.302,7,5,0,7,9,2,0
