tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
pga,2025,2025,2025-04-13,Masters Tournament,14,"McIlroy, Rory",10091,1,1,Augusta National Golf Club,14,72,1,1:12pm,72,-1.108,-0.932,2.045,1.584,2.697,1.589,318.5,0.714,0.611,0.778,46.014,31.081,6,4,0,4,12,0,2
pga,2025,2025,2025-04-13,Masters Tournament,14,"McIlroy, Rory",10091,1,2,Augusta National Golf Club,14,72,1,9:58am,66,2.151,0.413,3.643,0.467,4.523,6.674,316.0,0.5,0.778,1.0,27.065,32.934,5,0,1,4,13,0,0
pga,2025,2025,2025-04-13,Masters Tournament,14,"McIlroy, Rory",10091,1,3,Augusta National Golf Club,14,72,1,2:30pm,66,-0.107,2.959,2.355,1.171,6.485,6.377,321.7,0.714,0.667,0.889,64.072,28.74,7,5,2,4,10,2,0
pga,2025,2025,2025-04-13,Masters Tournament,14,"McIlroy, Rory",10091,1,4,Augusta National Golf Club,14,72,1,2:30pm,73,-2.185,0.628,1.184,-0.551,1.261,-0.925,315.5,0.571,0.556,0.571,55.681,39.637,8,9,0,6,7,3,2
pga,2025,2025,2025-04-13,Masters Tournament,14,"Rose, Justin",6093,2,1,Augusta National Golf Club,14,72,1,12:00pm,65,5.27,1.643,2.785,-1.108,3.32,8.589,293.6,0.643,0.778,1.0,145.546,26.409,7,2,0,8,9,1,0
pga,2025,2025,2025-04-13,Masters Tournament,14,"Rose, Justin",6093,2,2,Augusta National Golf Club,14,72,1,8:52am,71,2.082,0.02,-1.043,0.615,-0.408,1.674,289.2,0.857,0.556,0.75,124.01,66.694,5,1,0,4,11,3,0
pga,2025,2025,2025-04-13,Masters Tournament,14,"Rose, Justin",6093,2,3,Augusta National Golf Club,14,72,1,2:40pm,75,-4.538,-0.821,1.934,0.803,1.916,-2.623,301.0,0.857,0.889,0.2,37.642,27.677,4,5,0,2,11,5,0
pga,2025,2025,2025-04-13,Masters Tournament,14,"Rose, Justin",6093,2,4,Augusta National Golf Club,14,72,1,1:50pm,66,1.487,0.563,3.375,0.651,4.589,6.075,298.7,0.714,0.833,0.4,86.944,25.493,6,4,0,10,4,4,0
pga,2025,2025,2025-04-13,Masters Tournament,14,"Reed, Patrick",14838,3,1,Augusta National Golf Club,14,72,1,9:25am,71,-0.623,0.147,2.018,1.047,3.212,2.589,297.2,0.929,0.722,0.714,54.351,34.693,4,3,0,3,13,2,0
pga,2025,2025,2025-04-13,Masters Tournament,14,"Reed, Patrick",14838,3,2,Augusta National Golf Club,14,72,1,12:33pm,70,0.113,3.286,-1.178,0.453,2.561,2.674,296.2,0.857,0.611,0.556,94.586,52.236,2,4,1,3,11,3,0
